,R,G,B,i,j,cluster
0,47,47,47,0,0,2
1,48,48,48,0,1,2
2,49,49,49,0,2,2
3,50,50,50,0,3,2
4,50,50,50,0,4,2
5,49,49,49,0,5,2
6,48,48,48,0,6,2
7,48,48,48,0,7,2
8,49,49,49,0,8,2
9,50,50,50,0,9,2
10,49,49,49,0,10,2
11,48,48,48,0,11,2
12,49,49,49,0,12,2
13,50,50,50,0,13,2
14,50,50,50,0,14,2
15,50,50,50,0,15,2
16,50,50,50,0,16,2
17,50,50,50,0,17,2
18,49,49,49,0,18,2
19,51,51,51,0,19,2
20,51,51,51,0,20,2
21,50,50,50,0,21,2
22,50,50,50,0,22,2
23,49,49,49,0,23,2
24,48,48,48,0,24,2
25,50,50,50,0,25,2
26,50,50,50,0,26,2
27,50,50,50,0,27,2
28,49,49,49,0,28,2
29,49,49,49,0,29,2
30,49,49,49,0,30,2
31,49,49,49,0,31,2
32,51,51,51,0,32,2
33,51,51,51,0,33,2
34,52,52,52,0,34,2
35,52,52,52,0,35,2
36,52,52,52,0,36,2
37,52,52,52,0,37,2
38,52,52,52,0,38,2
39,51,51,51,0,39,2
40,48,48,48,0,40,2
41,52,52,52,0,41,2
42,52,52,52,0,42,2
43,50,50,50,0,43,2
44,52,52,52,0,44,2
45,53,53,53,0,45,2
46,53,53,53,0,46,2
47,51,51,51,0,47,2
48,50,50,50,0,48,2
49,50,50,50,0,49,2
50,53,53,53,0,50,2
51,50,50,50,0,51,2
52,49,49,49,0,52,2
53,52,52,52,0,53,2
54,53,53,53,0,54,2
55,51,51,51,0,55,2
56,51,51,51,0,56,2
57,52,52,52,0,57,2
58,51,51,51,0,58,2
59,50,50,50,0,59,2
60,51,51,51,0,60,2
61,51,51,51,0,61,2
62,52,52,52,0,62,2
63,51,51,51,0,63,2
64,51,51,51,0,64,2
65,51,51,51,0,65,2
66,49,49,49,0,66,2
67,49,49,49,0,67,2
68,50,50,50,0,68,2
69,50,50,50,0,69,2
70,49,49,49,0,70,2
71,50,50,50,0,71,2
72,50,50,50,0,72,2
73,50,50,50,0,73,2
74,50,50,50,0,74,2
75,50,50,50,0,75,2
76,50,50,50,0,76,2
77,50,50,50,0,77,2
78,50,50,50,0,78,2
79,50,50,50,0,79,2
80,50,50,50,0,80,2
81,49,49,49,0,81,2
82,49,49,49,0,82,2
83,49,49,49,0,83,2
84,49,49,49,0,84,2
85,48,48,48,0,85,2
86,49,49,49,0,86,2
87,50,50,50,0,87,2
88,50,50,50,0,88,2
89,49,49,49,0,89,2
90,48,48,48,0,90,2
91,47,47,47,0,91,2
92,49,49,49,0,92,2
93,49,49,49,0,93,2
94,49,49,49,0,94,2
95,49,49,49,0,95,2
96,48,48,48,0,96,2
97,48,48,48,0,97,2
98,48,48,48,0,98,2
99,48,48,48,0,99,2
100,47,47,47,1,0,2
101,48,48,48,1,1,2
102,49,49,49,1,2,2
103,50,50,50,1,3,2
104,50,50,50,1,4,2
105,49,49,49,1,5,2
106,48,48,48,1,6,2
107,48,48,48,1,7,2
108,49,49,49,1,8,2
109,50,50,50,1,9,2
110,49,49,49,1,10,2
111,48,48,48,1,11,2
112,49,49,49,1,12,2
113,50,50,50,1,13,2
114,50,50,50,1,14,2
115,50,50,50,1,15,2
116,50,50,50,1,16,2
117,50,50,50,1,17,2
118,49,49,49,1,18,2
119,51,51,51,1,19,2
120,51,51,51,1,20,2
121,50,50,50,1,21,2
122,50,50,50,1,22,2
123,49,49,49,1,23,2
124,48,48,48,1,24,2
125,50,50,50,1,25,2
126,50,50,50,1,26,2
127,50,50,50,1,27,2
128,50,50,50,1,28,2
129,50,50,50,1,29,2
130,50,50,50,1,30,2
131,50,50,50,1,31,2
132,51,51,51,1,32,2
133,51,51,51,1,33,2
134,52,52,52,1,34,2
135,52,52,52,1,35,2
136,52,52,52,1,36,2
137,52,52,52,1,37,2
138,52,52,52,1,38,2
139,53,53,53,1,39,2
140,49,49,49,1,40,2
141,54,54,54,1,41,2
142,55,55,55,1,42,2
143,52,52,52,1,43,2
144,52,52,52,1,44,2
145,53,53,53,1,45,2
146,49,49,49,1,46,2
147,49,49,49,1,47,2
148,50,50,50,1,48,2
149,49,49,49,1,49,2
150,48,48,48,1,50,2
151,48,48,48,1,51,2
152,49,49,49,1,52,2
153,49,49,49,1,53,2
154,50,50,50,1,54,2
155,51,51,51,1,55,2
156,51,51,51,1,56,2
157,49,49,49,1,57,2
158,50,50,50,1,58,2
159,51,51,51,1,59,2
160,51,51,51,1,60,2
161,51,51,51,1,61,2
162,52,52,52,1,62,2
163,52,52,52,1,63,2
164,51,51,51,1,64,2
165,51,51,51,1,65,2
166,49,49,49,1,66,2
167,53,53,53,1,67,2
168,54,54,54,1,68,2
169,54,54,54,1,69,2
170,53,53,53,1,70,2
171,50,50,50,1,71,2
172,50,50,50,1,72,2
173,50,50,50,1,73,2
174,50,50,50,1,74,2
175,50,50,50,1,75,2
176,50,50,50,1,76,2
177,50,50,50,1,77,2
178,50,50,50,1,78,2
179,50,50,50,1,79,2
180,50,50,50,1,80,2
181,49,49,49,1,81,2
182,49,49,49,1,82,2
183,49,49,49,1,83,2
184,49,49,49,1,84,2
185,48,48,48,1,85,2
186,49,49,49,1,86,2
187,50,50,50,1,87,2
188,50,50,50,1,88,2
189,50,50,50,1,89,2
190,49,49,49,1,90,2
191,48,48,48,1,91,2
192,49,49,49,1,92,2
193,49,49,49,1,93,2
194,49,49,49,1,94,2
195,49,49,49,1,95,2
196,48,48,48,1,96,2
197,48,48,48,1,97,2
198,48,48,48,1,98,2
199,48,48,48,1,99,2
200,47,47,47,2,0,2
201,48,48,48,2,1,2
202,49,49,49,2,2,2
203,50,50,50,2,3,2
204,50,50,50,2,4,2
205,49,49,49,2,5,2
206,48,48,48,2,6,2
207,48,48,48,2,7,2
208,49,49,49,2,8,2
209,50,50,50,2,9,2
210,49,49,49,2,10,2
211,48,48,48,2,11,2
212,49,49,49,2,12,2
213,50,50,50,2,13,2
214,50,50,50,2,14,2
215,50,50,50,2,15,2
216,50,50,50,2,16,2
217,50,50,50,2,17,2
218,49,49,49,2,18,2
219,51,51,51,2,19,2
220,51,51,51,2,20,2
221,50,50,50,2,21,2
222,50,50,50,2,22,2
223,49,49,49,2,23,2
224,48,48,48,2,24,2
225,50,50,50,2,25,2
226,50,50,50,2,26,2
227,50,50,50,2,27,2
228,51,51,51,2,28,2
229,51,51,51,2,29,2
230,51,51,51,2,30,2
231,51,51,51,2,31,2
232,51,51,51,2,32,2
233,51,51,51,2,33,2
234,52,52,52,2,34,2
235,52,52,52,2,35,2
236,52,52,52,2,36,2
237,52,52,52,2,37,2
238,52,52,52,2,38,2
239,49,49,49,2,39,2
240,45,45,45,2,40,2
241,48,48,48,2,41,2
242,52,52,52,2,42,2
243,51,51,51,2,43,2
244,52,52,52,2,44,2
245,53,53,53,2,45,2
246,56,56,56,2,46,2
247,60,60,60,2,47,2
248,64,64,64,2,48,2
249,65,65,65,2,49,2
250,65,65,65,2,50,2
251,70,70,70,2,51,2
252,74,74,74,2,52,2
253,76,76,76,2,53,2
254,73,73,73,2,54,2
255,69,69,69,2,55,2
256,65,65,65,2,56,2
257,62,62,62,2,57,2
258,59,59,59,2,58,2
259,55,55,55,2,59,2
260,52,52,52,2,60,2
261,52,52,52,2,61,2
262,52,52,52,2,62,2
263,51,51,51,2,63,2
264,50,50,50,2,64,2
265,50,50,50,2,65,2
266,49,49,49,2,66,2
267,51,51,51,2,67,2
268,53,53,53,2,68,2
269,53,53,53,2,69,2
270,52,52,52,2,70,2
271,50,50,50,2,71,2
272,50,50,50,2,72,2
273,50,50,50,2,73,2
274,50,50,50,2,74,2
275,50,50,50,2,75,2
276,50,50,50,2,76,2
277,50,50,50,2,77,2
278,50,50,50,2,78,2
279,50,50,50,2,79,2
280,50,50,50,2,80,2
281,49,49,49,2,81,2
282,49,49,49,2,82,2
283,49,49,49,2,83,2
284,49,49,49,2,84,2
285,48,48,48,2,85,2
