,R,G,B,i,j,cluster
0,10,10,10,0,0,2
1,10,10,10,0,1,2
2,10,10,10,0,2,2
3,10,10,10,0,3,2
4,10,10,10,0,4,2
5,10,10,10,0,5,2
6,10,10,10,0,6,2
7,10,10,10,0,7,2
8,11,11,11,0,8,2
9,11,11,11,0,9,2
10,11,11,11,0,10,2
11,10,10,10,0,11,2
12,10,10,10,0,12,2
13,10,10,10,0,13,2
14,10,10,10,0,14,2
15,11,11,11,0,15,2
16,11,11,11,0,16,2
17,11,11,11,0,17,2
18,12,12,12,0,18,2
19,8,8,8,0,19,2
20,8,8,8,0,20,2
21,31,31,31,0,21,2
22,138,138,138,0,22,3
23,232,232,232,0,23,1
24,251,251,251,0,24,1
25,207,207,207,0,25,1
26,147,147,147,0,26,3
27,111,111,111,0,27,0
28,67,67,67,0,28,0
29,51,51,51,0,29,0
30,34,34,34,0,30,2
31,19,19,19,0,31,2
32,13,13,13,0,32,2
33,18,18,18,0,33,2
34,26,26,26,0,34,2
35,32,32,32,0,35,2
36,24,24,24,0,36,2
37,13,13,13,0,37,2
38,10,10,10,0,38,2
39,12,12,12,0,39,2
40,11,11,11,0,40,2
41,11,11,11,0,41,2
42,13,13,13,0,42,2
43,18,18,18,0,43,2
44,24,24,24,0,44,2
45,27,27,27,0,45,2
46,34,34,34,0,46,2
47,55,55,55,0,47,0
48,60,60,60,0,48,0
49,63,63,63,0,49,0
50,58,58,58,0,50,0
51,42,42,42,0,51,2
52,31,31,31,0,52,2
53,31,31,31,0,53,2
54,26,26,26,0,54,2
55,22,22,22,0,55,2
56,28,28,28,0,56,2
57,35,35,35,0,57,2
58,33,33,33,0,58,2
59,30,30,30,0,59,2
60,33,33,33,0,60,2
61,33,33,33,0,61,2
62,31,31,31,0,62,2
63,29,29,29,0,63,2
64,24,24,24,0,64,2
65,22,22,22,0,65,2
66,21,21,21,0,66,2
67,19,19,19,0,67,2
68,18,18,18,0,68,2
69,15,15,15,0,69,2
70,11,11,11,0,70,2
71,8,8,8,0,71,2
72,10,10,10,0,72,2
73,14,14,14,0,73,2
74,49,49,49,0,74,2
75,89,89,89,0,75,0
76,82,82,82,0,76,0
77,45,45,45,0,77,2
78,28,28,28,0,78,2
79,43,43,43,0,79,2
80,84,84,84,0,80,0
81,117,117,117,0,81,3
82,172,172,172,0,82,3
83,228,228,228,0,83,1
84,154,154,154,0,84,3
85,33,33,33,0,85,2
86,4,4,4,0,86,2
87,9,9,9,0,87,2
88,14,14,14,0,88,2
89,8,8,8,0,89,2
90,9,9,9,0,90,2
91,11,11,11,0,91,2
92,11,11,11,0,92,2
93,11,11,11,0,93,2
94,10,10,10,0,94,2
95,10,10,10,0,95,2
96,10,10,10,0,96,2
97,10,10,10,0,97,2
98,10,10,10,0,98,2
99,10,10,10,0,99,2
100,10,10,10,1,0,2
101,10,10,10,1,1,2
102,10,10,10,1,2,2
103,10,10,10,1,3,2
104,10,10,10,1,4,2
105,10,10,10,1,5,2
106,10,10,10,1,6,2
107,10,10,10,1,7,2
108,11,11,11,1,8,2
109,11,11,11,1,9,2
110,11,11,11,1,10,2
111,10,10,10,1,11,2
112,10,10,10,1,12,2
113,10,10,10,1,13,2
114,10,10,10,1,14,2
115,11,11,11,1,15,2
116,11,11,11,1,16,2
117,11,11,11,1,17,2
118,12,12,12,1,18,2
119,8,8,8,1,19,2
120,38,38,38,1,20,2
121,147,147,147,1,21,3
122,227,227,227,1,22,1
123,207,207,207,1,23,1
124,164,164,164,1,24,3
125,114,114,114,1,25,0
126,63,63,63,1,26,0
127,31,31,31,1,27,2
128,21,21,21,1,28,2
129,13,13,13,1,29,2
130,13,13,13,1,30,2
131,18,18,18,1,31,2
132,18,18,18,1,32,2
133,14,14,14,1,33,2
134,14,14,14,1,34,2
135,18,18,18,1,35,2
136,15,15,15,1,36,2
137,10,10,10,1,37,2
138,8,8,8,1,38,2
139,9,9,9,1,39,2
140,13,13,13,1,40,2
141,18,18,18,1,41,2
142,27,27,27,1,42,2
143,35,35,35,1,43,2
144,38,38,38,1,44,2
145,35,35,35,1,45,2
146,45,45,45,1,46,2
147,77,77,77,1,47,0
148,70,70,70,1,48,0
149,74,74,74,1,49,0
150,69,69,69,1,50,0
151,94,94,94,1,51,0
152,84,84,84,1,52,0
153,21,21,21,1,53,2
154,22,22,22,1,54,2
155,68,68,68,1,55,0
156,51,51,51,1,56,0
157,39,39,39,1,57,2
158,55,55,55,1,58,0
159,53,53,53,1,59,0
160,40,40,40,1,60,2
161,42,42,42,1,61,2
162,43,43,43,1,62,2
163,47,47,47,1,63,2
164,48,48,48,1,64,2
165,43,43,43,1,65,2
166,36,36,36,1,66,2
167,30,30,30,1,67,2
168,21,21,21,1,68,2
169,15,15,15,1,69,2
170,14,14,14,1,70,2
171,16,16,16,1,71,2
172,16,16,16,1,72,2
173,17,17,17,1,73,2
174,41,41,41,1,74,2
175,80,80,80,1,75,0
176,94,94,94,1,76,0
177,78,78,78,1,77,0
178,53,53,53,1,78,0
179,45,45,45,1,79,2
180,33,33,33,1,80,2
181,57,57,57,1,81,0
182,88,88,88,1,82,0
183,146,146,146,1,83,3
184,227,227,227,1,84,1
185,189,189,189,1,85,1
186,42,42,42,1,86,2
187,7,7,7,1,87,2
188,11,11,11,1,88,2
189,10,10,10,1,89,2
190,11,11,11,1,90,2
191,11,11,11,1,91,2
192,11,11,11,1,92,2
193,11,11,11,1,93,2
194,10,10,10,1,94,2
195,10,10,10,1,95,2
196,10,10,10,1,96,2
197,10,10,10,1,97,2
198,10,10,10,1,98,2
199,10,10,10,1,99,2
200,10,10,10,2,0,2
201,10,10,10,2,1,2
202,10,10,10,2,2,2
203,10,10,10,2,3,2
204,10,10,10,2,4,2
205,10,10,10,2,5,2
206,10,10,10,2,6,2
207,10,10,10,2,7,2
208,11,11,11,2,8,2
209,11,11,11,2,9,2
210,11,11,11,2,10,2
211,10,10,10,2,11,2
212,10,10,10,2,12,2
213,10,10,10,2,13,2
214,10,10,10,2,14,2
215,11,11,11,2,15,2
216,11,11,11,2,16,2
217,11,11,11,2,17,2
218,9,9,9,2,18,2
219,32,32,32,2,19,2
220,150,150,150,2,20,3
221,229,229,229,2,21,1
222,195,195,195,2,22,1
223,139,139,139,2,23,3
224,70,70,70,2,24,0
225,31,31,31,2,25,2
226,17,17,17,2,26,2
227,15,15,15,2,27,2
228,13,13,13,2,28,2
229,17,17,17,2,29,2
230,14,14,14,2,30,2
231,16,16,16,2,31,2
232,13,13,13,2,32,2
233,8,8,8,2,33,2
234,10,10,10,2,34,2
235,12,12,12,2,35,2
236,15,15,15,2,36,2
237,16,16,16,2,37,2
