,R,G,B,i,j,cluster
0,0,0,0,0,0,2
1,0,0,0,0,1,2
2,1,1,1,0,2,2
3,1,1,1,0,3,2
4,2,2,2,0,4,2
5,2,2,2,0,5,2
6,1,1,1,0,6,2
7,1,1,1,0,7,2
8,1,1,1,0,8,2
9,0,0,0,0,9,2
10,2,2,2,0,10,2
11,2,2,2,0,11,2
12,2,2,2,0,12,2
13,1,1,1,0,13,2
14,3,3,3,0,14,2
15,0,0,0,0,15,2
16,2,2,2,0,16,2
17,2,2,2,0,17,2
18,1,1,1,0,18,2
19,0,0,0,0,19,2
20,1,1,1,0,20,2
21,2,2,2,0,21,2
22,1,1,1,0,22,2
23,1,1,1,0,23,2
24,1,1,1,0,24,2
25,2,2,2,0,25,2
26,3,3,3,0,26,2
27,1,1,1,0,27,2
28,1,1,1,0,28,2
29,2,2,2,0,29,2
30,3,3,3,0,30,2
31,0,0,0,0,31,2
32,0,0,0,0,32,2
33,0,0,0,0,33,2
34,0,0,0,0,34,2
35,3,3,3,0,35,2
36,2,2,2,0,36,2
37,2,2,2,0,37,2
38,1,1,1,0,38,2
39,1,1,1,0,39,2
40,1,1,1,0,40,2
41,1,1,1,0,41,2
42,1,1,1,0,42,2
43,2,2,2,0,43,2
44,2,2,2,0,44,2
45,0,0,0,0,45,2
46,0,0,0,0,46,2
47,0,0,0,0,47,2
48,1,1,1,0,48,2
49,1,1,1,0,49,2
50,1,1,1,0,50,2
51,1,1,1,0,51,2
52,1,1,1,0,52,2
53,0,0,0,0,53,2
54,1,1,1,0,54,2
55,1,1,1,0,55,2
56,0,0,0,0,56,2
57,2,2,2,0,57,2
58,2,2,2,0,58,2
59,0,0,0,0,59,2
60,2,2,2,0,60,2
61,1,1,1,0,61,2
62,1,1,1,0,62,2
63,3,3,3,0,63,2
64,3,3,3,0,64,2
65,2,2,2,0,65,2
66,0,0,0,0,66,2
67,1,1,1,0,67,2
68,1,1,1,0,68,2
69,0,0,0,0,69,2
70,1,1,1,0,70,2
71,2,2,2,0,71,2
72,4,4,4,0,72,2
73,2,2,2,0,73,2
74,1,1,1,0,74,2
75,0,0,0,0,75,2
76,1,1,1,0,76,2
