,R,G,B,i,j,cluster
0,63,63,63,0,0,1
1,22,22,22,0,1,1
2,29,29,29,0,2,1
3,24,24,24,0,3,2
4,25,25,25,0,4,2
5,25,25,25,0,5,2
6,25,25,25,0,6,2
7,25,25,25,0,7,2
8,25,25,25,0,8,2
9,25,25,25,0,9,2
10,25,25,25,0,10,2
11,25,25,25,0,11,2
12,25,25,25,0,12,2
13,25,25,25,0,13,2
14,25,25,25,0,14,2
15,25,25,25,0,15,2
16,25,25,25,0,16,2
17,25,25,25,0,17,2
18,25,25,25,0,18,2
19,25,25,25,0,19,2
20,25,25,25,0,20,2
21,25,25,25,0,21,2
22,25,25,25,0,22,2
23,25,25,25,0,23,2
24,25,25,25,0,24,2
25,25,25,25,0,25,2
26,25,25,25,0,26,2
27,25,25,25,0,27,2
28,25,25,25,0,28,2
29,25,25,25,0,29,2
30,25,25,25,0,30,2
31,25,25,25,0,31,2
32,25,25,25,0,32,2
33,25,25,25,0,33,2
34,25,25,25,0,34,2
35,25,25,25,0,35,2
36,25,25,25,0,36,2
37,25,25,25,0,37,2
38,25,25,25,0,38,2
39,25,25,25,0,39,2
40,25,25,25,0,40,2
41,25,25,25,0,41,2
42,25,25,25,0,42,2
43,25,25,25,0,43,2
44,25,25,25,0,44,2
45,25,25,25,0,45,2
46,25,25,25,0,46,2
47,25,25,25,0,47,2
48,25,25,25,0,48,2
49,25,25,25,0,49,2
50,25,25,25,0,50,2
51,25,25,25,0,51,2
52,25,25,25,0,52,2
53,25,25,25,0,53,2
54,25,25,25,0,54,2
55,25,25,25,0,55,2
56,25,25,25,0,56,2
57,25,25,25,0,57,2
58,25,25,25,0,58,2
59,25,25,25,0,59,2
60,25,25,25,0,60,2
61,25,25,25,0,61,2
62,25,25,25,0,62,2
63,25,25,25,0,63,2
64,25,25,25,0,64,2
65,25,25,25,0,65,2
66,25,25,25,0,66,2
67,25,25,25,0,67,2
68,25,25,25,0,68,2
69,25,25,25,0,69,2
70,25,25,25,0,70,2
71,25,25,25,0,71,2
72,25,25,25,0,72,2
73,25,25,25,0,73,2
74,25,25,25,0,74,2
75,25,25,25,0,75,2
76,25,25,25,0,76,2
77,25,25,25,0,77,2
78,25,25,25,0,78,2
79,25,25,25,0,79,2
80,25,25,25,0,80,2
81,25,25,25,0,81,2
82,25,25,25,0,82,2
83,25,25,25,0,83,2
84,25,25,25,0,84,2
85,25,25,25,0,85,2
86,25,25,25,0,86,2
87,25,25,25,0,87,2
88,25,25,25,0,88,2
89,25,25,25,0,89,2
